asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_001,Rivian Automotive,리비안,RIVN,NASDAQ,US,STOCK
A_002,Tesla,테슬라,TSLA,NASDAQ,US,STOCK
A_003,BYD Company,BYD,1211,HKEX,CN,STOCK
A_004,Hyundai Motor,현대차,005380,KOSPI,KR,STOCK
A_005,Kia,기아차,000270,KOSPI,KR,STOCK
A_006,Toyota Motor,도요타,7203,TSE,JP,STOCK
A_007,Honda Motor,혼다,7267,TSE,JP,STOCK
A_008,General Motors,GM,GM,NYSE,US,STOCK
A_009,Ford Motor,포드,F,NYSE,US,STOCK
A_010,Stellantis,스텔란티스,STLA,NYSE,NL,STOCK
A_011,CJ CheilJedang,CJ제일제당,097950,KOSPI,KR,STOCK
A_012,CJ Logistics,CJ대한통운,000120,KOSPI,KR,STOCK
A_013,CJ ENM,CJENM,035760,KOSDAQ,KR,STOCK
A_014,CJ CGV,CJCGV,079160,KOSPI,KR,STOCK
A_015,Studio Dragon,스튜디오드래곤,253450,KOSDAQ,KR,STOCK
A_016,CJ Corporation,CJ주식회사,001040,KOSPI,KR,STOCK
A_017,CJ Bioscience,CJ바이오사이언스(비),,,KR,PRIVATE
A_018,CJ Olive Young,CJ올리브영(비),,,KR,PRIVATE
A_019,Coupang,쿠팡,CPNG,NYSE,US,STOCK
A_020,SPDR S&P 500 ETF Trust,SPY,SPY,NYSEARCA,US,ETF
A_021,SPDR Portfolio S&P 500 ETF,SPLG,SPLG,NYSEARCA,US,ETF
A_022,SPDR Portfolio S&P 500 Growth ETF,SPYG,SPYG,NYSEARCA,US,ETF
A_023,Invesco QQQ Trust,QQQ,QQQ,NASDAQ,US,ETF
A_024,Invesco NASDAQ 100 ETF,QQQM,QQQM,NASDAQ,US,ETF
A_025,ProShares Ultra QQQ,QLD,QLD,NASDAQ,US,ETF
A_026,ProShares UltraPro QQQ,TQQQ,TQQQ,NASDAQ,US,ETF
A_027,Schwab U.S. Dividend Equity ETF,SCHD,SCHD,NYSEARCA,US,ETF
A_028,Schwab U.S. Large-Cap Growth ETF,SCHG,SCHG,NYSEARCA,US,ETF
A_029,WisdomTree U.S. Quality Dividend Growth ETF,DGRW,DGRW,NYSEARCA,US,ETF
A_030,Vanguard Dividend Appreciation ETF,VIG,VIG,NYSEARCA,US,ETF
A_031,SPDR Dow Jones Industrial Average ETF Trust,DIA,DIA,NYSEARCA,US,ETF
A_032,ProShares Ultra Dow30,DDM,DDM,NYSEARCA,US,ETF
A_033,ProShares Ultra S&P 500,SSO,SSO,NYSEARCA,US,ETF
A_034,RISE US High Dividend Dow Jones TOP 10,RISE미국고배당다우존스TOP10,0115C0,KRX,KR,ETF
A_035,ACE US 500 Daily Target Covered Call (synthetic),ACE미국S&P500데일리타깃커버드콜(합성),480030,KRX,KR,ETF
A_036,ACE US Big Tech 7+ Daily Target Covered Call (synthetic),ACE미국빅테크7+데일리타깃커버드콜(합성),480020,KRX,KR,ETF
A_037,TIGER US NASDAQ 100 Daily Covered Call,TIGER미국나스닥100데일리커버드콜,486290,KRX,KR,ETF
A_038,CJ Freshway,CJ프레시웨이,051500,KOSPI,KR,STOCK
A_039,Elastic,엘라스틱,ESTC,NYSE,US,STOCK
A_040,MongoDB,몽고DB,MDB,NASDAQ,US,STOCK
A_041,HubSpot,허브스팟,HUBS,NYSE,US,STOCK
A_042,Workday,워크데이,WDAY,NASDAQ,US,STOCK
A_043,Autodesk,오토데스크,ADSK,NASDAQ,US,STOCK
A_044,ServiceNow,서비스나우,NOW,NYSE,US,STOCK
A_045,Intuit,인튜이트,INTU,NASDAQ,US,STOCK
A_046,Salesforce,세일즈포스,CRM,NYSE,US,STOCK
A_047,Adobe,어도비,ADBE,NASDAQ,US,STOCK
A_048,TradeDesk,트레이드데스크,TTD,NASDAQ,US,STOCK
A_049,Baidu,바이두,BIDU,NASDAQ,US,STOCK
A_050,Alphabet,알파벳,GOOGL,NASDAQ,US,STOCK
A_051,Alibaba,알리바바,BABA,NYSE,US,STOCK
A_052,Tencent,텐센트,TCEHY,OTC,US,STOCK
A_053,Google Waymo,구글웨이모(비),,,US,PRIVATE
A_054,Baidu Kunlunxin,바이두쿤룬신(비),,,CN,PRIVATE
A_055,NVIDIA,엔비디아,NVDA,NASDAQ,US,STOCK
A_056,Advanced Micro Devices,AMD,AMD,NASDAQ,US,STOCK
A_057,Ambarella,Ambarella,AMBA,NASDAQ,US,STOCK
A_058,ARM Holdings,ARM,ARM,NASDAQ,US,STOCK
A_059,Qualcomm,퀄컴,QCOM,NASDAQ,US,STOCK
A_060,NXP Semiconductors,NXP,NXPI,NASDAQ,US,STOCK
A_061,STMicroelectronics,STMicro,STM,NYSE,US,STOCK
A_062,Renesas Electronics,Renesas,RNECY,OTC,JP,STOCK
A_063,SPDR Gold Shares,GLD,GLD,NYSEARCA,US,ETF
A_064,iShares Silver Trust,SLV,SLV,NYSEARCA,US,ETF
A_065,Global X Copper Miners ETF,COPX,COPX,NYSEARCA,US,ETF
A_066,Global X Lithium & Battery Tech ETF,LIT,LIT,NYSEARCA,US,ETF
A_067,United States Zinc ETF,ZINC,ZINC,NYSEARCA,US,ETF
A_068,USCF Aluminum Strategy Fund,ALUM,ALUM,NYSEARCA,US,ETF
A_069,Global X Uranium ETF,URA,URA,NYSEARCA,US,ETF
A_070,United States Oil Fund,USO,USO,NYSEARCA,US,ETF
A_071,United States Brent Oil Fund,BNO,BNO,NYSEARCA,US,ETF
A_072,VanEck Rare Earth and Strategic Metals ETF,REMX,REMX,NYSEARCA,US,ETF
A_073,ProShares Bitcoin Strategy ETF,BITO,BITO,NYSEARCA,US,ETF
A_074,ProShares Ultra Bitcoin ETF,BITU,BITU,NYSEARCA,US,ETF
A_075,Dogecoin ETF,DOJE,DOJE,CBOE,US,ETF
A_076,iShares Ethereum Trust ETF,ETHA,ETHA,NASDAQ,US,ETF
A_077,XRP ETF,XRP,XRP,NASDAQ,US,ETF
A_078,Solana ETF,BSOL,BSOL,NYSEARCA,US,ETF
A_079,LG Electronics,LG전자,066570,KOSPI,KR,STOCK
A_080,LG Innotek,LG이노텍,011070,KOSPI,KR,STOCK
A_081,Bear Robotics,베어로보틱스(비),,,,PRIVATE
A_082,ROBOTIS,로보티즈,108490,KOSDAQ,KR,STOCK
A_083,ROBOSTAR,로보스타,090360,KOSDAQ,KR,STOCK
A_084,Angel Robotics,엔젤로보틱스,455900,KOSDAQ,KR,STOCK
A_085,Samsung Electro-Mechanics,삼성전기,009150,KOSPI,KR,STOCK
A_086,Sony Group,Sony,SONY,NYSE,US,STOCK
A_088,Samsung Electronics,삼성전자,005930,KOSPI,KR,STOCK
A_090,Samsung Heavy Industries,삼성중공업,010140,KOSPI,KR,STOCK
A_091,Rainbow Robotics,레인보우로보틱스,277810,KOSDAQ,KR,STOCK
A_092,SPG,에스피지,058610,KOSDAQ,KR,STOCK
A_093,CMES,씨메스,475400,KOSDAQ,KR,STOCK
A_094,Woorim PTS,우림피티에스,101170,KOSDAQ,KR,STOCK
A_095,Intops,인탑스,049070,KOSDAQ,KR,STOCK
A_096,ELENSYS,이랜시스,264850,KOSDAQ,KR,STOCK
A_098,Green Revolution Cooling,그린레볼루션쿨링(비),,,,PRIVATE
A_099,Vertiv,버티브,VRT,NYSE,US,STOCK
A_100,Schneider Electric,슈나이더일렉트릭,SU,EURONEXT,FR,STOCK
A_101,Delta Electronics,델타일렉트로닉스,2308,TWSE,TW,STOCK
A_102,Fujitsu,후지쯔,6702,TSE,JP,STOCK
A_103,SK Innovation,SK이노베이션,096770,KOSPI,KR,STOCK
A_105,LG Uplus,LG유플러스,032640,KOSPI,KR,STOCK
